iter	Passed	Remaining
407	5259	7631
408	5272	7618
409	5284	7605
410	5297	7591
411	5309	7577
412	5322	7564
413	5334	7550
414	5346	7536
415	5360	7525
416	5373	7512
417	5385	7498
418	5397	7483
419	5408	7469
420	5421	7455
421	5433	7441
422	5445	7428
423	5459	7416
424	5471	7402
425	5484	7390
426	5497	7376
427	5509	7362
428	5521	7349
429	5534	7336
430	5547	7323
431	5561	7312
432	5574	7299
433	5587	7287
434	5600	7273
435	5612	7260
436	5624	7246
437	5638	7234
438	5650	7221
439	5664	7209
440	5677	7196
441	5689	7183
442	5703	7170
443	5716	7158
444	5730	7146
445	5746	7138
446	5761	7127
447	5776	7117
448	5789	7104
449	5802	7091
450	5814	7077
451	5826	7064
452	5838	7050
453	5851	7036
454	5863	7022
455	5876	7010
456	5890	6998
457	5901	6984
458	5913	6970
459	5925	6956
460	5938	6942
461	5950	6929
462	5963	6916
463	5977	6905
464	5990	6891
465	6003	6879
466	6015	6866
467	6028	6853
468	6041	6840
469	6054	6827
470	6067	6814
471	6079	6800
472	6092	6787
473	6104	6774
474	6116	6760
475	6129	6747
476	6141	6734
477	6155	6721
478	6168	6708
479	6181	6697
480	6196	6686
481	6208	6672
482	6221	6659
483	6234	6646
484	6247	6633
485	6259	6620
486	6272	6606
487	6286	6595
488	6298	6581
489	6310	6567
490	6322	6554
491	6334	6540
492	6347	6527
493	6360	6514
494	6373	6501
495	6387	6490
496	6402	6479
497	6415	6466
498	6428	6454
499	6441	6441
500	6454	6428
501	6466	6415
502	6478	6401
503	6490	6387
504	6502	6373
505	6515	6360
506	6528	6347
507	6541	6335
508	6553	6321
509	6565	6307
510	6577	6294
511	6590	6281
512	6603	6269
513	6616	6256
514	6629	6243
515	6642	6230
516	6654	6216
517	6666	6202
518	6679	6190
519	6691	6176
520	6703	6163
521	6715	6149
522	6728	6136
523	6741	6123
524	6753	6110
525	6766	6097
526	6778	6084
527	6794	6073
528	6807	6061
529	6820	6048
530	6832	6034
531	6844	6021
532	6857	6008
533	6869	5994
534	6881	5981
535	6893	5967
536	6905	5954
537	6918	5941
538	6930	5927
539	6942	5914
540	6954	5900
541	6967	5887
542	6980	5874
543	6997	5865
544	7011	5853
545	7023	5839
546	7036	5827
547	7050	5815
548	7062	5802
549	7074	5788
550	7086	5774
551	7099	5761
552	7112	5749
553	7125	5736
554	7139	5724
555	7152	5711
556	7164	5697
557	7175	5684
558	7189	5671
559	7205	5661
560	7218	5648
561	7232	5636
562	7244	5623
563	7257	5610
564	7270	5597
565	7282	5584
566	7295	5570
567	7306	5557
568	7319	5544
569	7332	5531
570	7344	5518
571	7356	5504
572	7369	5491
573	7381	5478
574	7394	5465
575	7408	5453
576	7422	5441
577	7436	5429
578	7448	5416
579	7461	5403
580	7474	5390
581	7487	5377
582	7499	5364
583	7511	5350
584	7523	5337
585	7536	5324
586	7549	5311
587	7561	5298
588	7574	5285
589	7587	5272
590	7600	5259
591	7614	5247
592	7627	5234
593	7640	5222
594	7653	5209
595	7665	5196
596	7678	5183
597	7690	5170
598	7703	5157
599	7717	5144
600	7730	5131
601	7741	5118
602	7754	5105
603	7766	5091
604	7778	5078
605	7791	5065
606	7804	5052
607	7817	5040
608	7831	5027
609	7843	5014
610	7856	5002
611	7870	4989
612	7883	4977
613	7896	4964
614	7910	4951
615	7922	4938
616	7934	4925
617	7946	4911
618	7958	4898
619	7969	4884
620	7981	4871
621	7994	4858
622	8007	4845
623	8020	4832
624	8033	4820
625	8047	4807
626	8060	4795
627	8072	4782
628	8085	4769
629	8098	4756
630	8117	4747
631	8130	4734
632	8143	4721
633	8155	4708
634	8169	4695
635	8182	4683
636	8195	4670
637	8208	4657
638	8222	4644
639	8234	4632
640	8248	4619
641	8260	4606
642	8271	4592
643	8284	4579
644	8297	4566
645	8310	4554
646	8322	4540
647	8335	4527
648	8348	4514
649	8361	4502
650	8373	4488
651	8386	4476
652	8399	4463
653	8412	4450
654	8425	4438
655	8439	4425
656	8452	4412
657	8465	4400
658	8479	4387
659	8491	4374
660	8503	4361
661	8516	4348
662	8528	4335
663	8541	4322
664	8553	4308
665	8565	4295
666	8578	4282
667	8590	4269
668	8602	4256
669	8615	4243
670	8628	4230
671	8642	4218
672	8654	4205
673	8666	4191
674	8679	4178
675	8692	4166
676	8704	4153
677	8717	4140
678	8730	4127
679	8741	4113
680	8754	4100
681	8767	4087
682	8780	4075
683	8792	4062
684	8805	4049
685	8817	4036
686	8831	4023
687	8844	4011
688	8858	3998
689	8872	3986
690	8884	3972
691	8897	3959
692	8909	3947
693	8922	3934
694	8935	3921
695	8947	3908
696	8960	3895
697	8972	3882
698	8984	3868
699	8997	3856
700	9010	3843
701	9023	3830
702	9037	3818
703	9050	3805
704	9062	3792
705	9076	3779
706	9089	3766
707	9102	3754
708	9115	3741
709	9127	3728
710	9139	3715
711	9153	3702
712	9166	3689
713	9178	3676
714	9191	3663
715	9204	3650
716	9217	3637
717	9230	3625
718	9244	3613
719	9256	3599
720	9269	3586
721	9282	3574
722	9294	3560
723	9306	3547
724	9319	3534
725	9330	3521
726	9342	3508
727	9355	3495
728	9367	3482
729	9379	3469
730	9392	3456
731	9404	3443
732	9416	3429
733	9428	3416
734	9441	3403
735	9455	3391
736	9468	3378
737	9481	3366
738	9494	3353
739	9508	3340
740	9521	3327
741	9533	3314
742	9546	3302
743	9558	3288
744	9570	3275
745	9584	3263
746	9596	3250
747	9609	3237
748	9622	3224
749	9634	3211
750	9648	3199
751	9661	3186
752	9674	3173
753	9686	3160
754	9700	3147
755	9712	3134
756	9725	3122
757	9738	3109
758	9750	3096
759	9762	3082
760	9774	3069
761	9786	3056
762	9798	3043
763	9811	3030
764	9823	3017
765	9837	3005
766	9850	2992
767	9863	2979
768	9876	2966
769	9888	2953
770	9900	2940
771	9913	2927
772	9925	2914
773	9938	2901
