iter	MultiClass
0	2.255835003
1	2.158731189
2	2.087034889
3	2.020745437
4	1.964759744
5	1.922145689
6	1.875272892
7	1.841019515
8	1.810127528
9	1.778780169
10	1.752652539
11	1.726815078
12	1.70647967
13	1.686000615
14	1.66624413
15	1.649075622
16	1.636249338
17	1.623290878
18	1.609584138
19	1.593894529
20	1.581481792
21	1.570519433
22	1.558570432
23	1.548675948
24	1.536365879
25	1.529082001
26	1.5203562
27	1.512579182
28	1.507902341
29	1.500770452
30	1.490035591
31	1.482631638
32	1.475724933
33	1.471059
34	1.46626327
35	1.461011897
36	1.457123434
37	1.451441674
38	1.445653017
39	1.440389058
40	1.437254995
41	1.433989911
42	1.428620594
43	1.424984889
44	1.420943182
45	1.416990025
46	1.412181108
47	1.40752806
48	1.403782791
49	1.400942863
50	1.397737858
51	1.394012879
52	1.391434579
53	1.389218161
54	1.386543566
55	1.383610318
56	1.381252514
57	1.378369873
58	1.374905768
59	1.372603073
60	1.369888399
61	1.366438038
62	1.364085155
63	1.361470922
64	1.358708575
65	1.355399564
66	1.353044683
67	1.350801663
68	1.34759837
69	1.345348797
70	1.342706514
71	1.340250352
72	1.337846682
73	1.33485909
74	1.332285123
75	1.330981211
76	1.328639889
77	1.326179646
78	1.324613455
79	1.321609549
80	1.319029167
81	1.31694088
82	1.31545137
83	1.313428375
84	1.311767873
85	1.309658536
86	1.308076596
87	1.306207091
88	1.30420512
89	1.301956975
90	1.299347641
91	1.297523429
92	1.29542855
93	1.293630309
94	1.291509175
95	1.289994895
96	1.28818179
97	1.286652335
98	1.284915316
99	1.282665854
100	1.280934404
101	1.279031784
102	1.27736205
103	1.275755402
104	1.274250916
105	1.272543711
106	1.270543592
107	1.268510207
108	1.266556126
109	1.265326939
110	1.263884211
111	1.262187924
112	1.261288797
113	1.259712193
114	1.258410237
115	1.256277768
116	1.254186941
117	1.252512993
118	1.251308655
119	1.249859404
120	1.248817217
121	1.247194493
122	1.245379295
123	1.243978245
124	1.242310799
125	1.241237302
126	1.240011825
127	1.238558511
128	1.237033742
129	1.236029386
130	1.234790488
131	1.233515892
132	1.23179128
133	1.23097029
134	1.229632582
135	1.228353973
136	1.227574593
137	1.226231682
138	1.224787028
139	1.223778532
140	1.222166025
141	1.221601695
142	1.220165039
143	1.219344354
144	1.217843132
145	1.216441498
146	1.215174445
147	1.213831494
148	1.212479869
149	1.211333257
150	1.209458002
151	1.208102409
152	1.206309124
153	1.205275066
154	1.203670509
155	1.202176532
156	1.200841236
157	1.200044294
158	1.198836511
159	1.197308404
160	1.196144434
161	1.195187017
162	1.193992718
163	1.192579112
164	1.191714259
165	1.190939029
166	1.189819409
167	1.189026373
168	1.188075033
169	1.186828982
170	1.185012991
171	1.183395573
172	1.182626045
173	1.181398816
174	1.180144712
175	1.178497222
176	1.177625458
177	1.176523202
178	1.175068402
179	1.173981329
180	1.17300855
181	1.171358572
182	1.1706016
183	1.169203051
184	1.167892477
185	1.166907223
186	1.165368668
187	1.164151577
188	1.162652442
189	1.161924255
190	1.16074971
191	1.159825751
192	1.158902153
193	1.15818961
194	1.157260992
195	1.156192896
196	1.155194349
197	1.154326376
198	1.152983806
199	1.15157791
200	1.150670698
201	1.149860814
202	1.149040928
203	1.147970101
204	1.147308153
205	1.145728749
206	1.144813354
207	1.143456537
208	1.142328357
209	1.141149902
210	1.140405353
211	1.13948285
212	1.138073387
213	1.136718087
214	1.135762966
215	1.134950571
216	1.134115094
217	1.133300975
218	1.132138151
219	1.131109702
220	1.130464552
221	1.129479081
222	1.128554227
223	1.127765745
224	1.127002676
225	1.12585857
226	1.124907509
227	1.124443274
228	1.123348887
229	1.122372157
230	1.121378396
231	1.120060189
232	1.118802431
233	1.117991539
234	1.117108538
235	1.11601387
236	1.115150789
237	1.114231439
238	1.113094435
239	1.11259411
240	1.111581297
241	1.110531758
242	1.109666299
243	1.108997878
244	1.107784232
245	1.106729446
246	1.10611642
247	1.104804272
248	1.103857215
249	1.103301097
250	1.102440181
251	1.101770456
252	1.100193463
253	1.099211471
254	1.09835113
255	1.097711561
256	1.097011767
257	1.096434751
258	1.095825595
259	1.095129554
260	1.094457615
261	1.093821908
262	1.092492496
263	1.091847328
264	1.091025812
265	1.089774586
266	1.088907354
267	1.088077076
268	1.087127235
269	1.086212528
270	1.085474451
271	1.084729573
272	1.083909053
273	1.082826094
274	1.081710682
275	1.080803363
276	1.079804265
277	1.07870018
278	1.077679376
279	1.076687294
280	1.076135517
281	1.075189535
282	1.074414625
283	1.073618257
284	1.072562376
285	1.071511809
286	1.070438652
287	1.069797575
288	1.068821083
289	1.068342889
290	1.067735365
291	1.066623619
292	1.065869033
293	1.064714299
294	1.063908533
295	1.063151363
296	1.061978702
297	1.061402358
298	1.060656792
299	1.060210781
300	1.059243824
301	1.05855102
302	1.05786137
303	1.057076223
304	1.056142907
305	1.055094683
306	1.054327862
307	1.053884012
308	1.053056109
309	1.052428705
310	1.05158562
311	1.051221506
312	1.050304106
313	1.049238835
314	1.048266907
315	1.046993391
316	1.046203563
317	1.045351418
318	1.044595411
319	1.043956368
320	1.0429586
321	1.042062733
322	1.040982834
323	1.040216979
324	1.039420124
325	1.038744072
326	1.037707481
327	1.037226392
328	1.036370132
329	1.035575342
330	1.035154965
331	1.034145569
332	1.033300383
333	1.032543609
334	1.032063888
335	1.03124827
336	1.030662688
337	1.03011657
338	1.029425066
339	1.028566006
340	1.027540837
341	1.026870945
342	1.026273489
343	1.025439854
344	1.024901114
345	1.024051013
346	1.023256297
347	1.022552932
348	1.021681628
349	1.02089598
350	1.020118259
351	1.019366091
352	1.018837958
353	1.018283135
354	1.017225275
355	1.0165255
356	1.015657747
357	1.014770029
358	1.014070681
359	1.013245059
360	1.012202288
361	1.011737906
362	1.010656766
363	1.009784596
364	1.008827157
365	1.00831206
366	1.00745825
367	1.006299082
368	1.005677997
369	1.005178136
370	1.004652906
371	1.003915483
372	1.003362014
373	1.002612421
374	1.002113577
375	1.001431865
376	1.000713375
377	1.00008548
378	0.9993271764
379	0.9989888506
380	0.9977387637
381	0.9972330245
382	0.9965650409
383	0.9957765571
384	0.9950311165
385	0.9939372898
386	0.9930678164
387	0.9922870817
388	0.9916779623
389	0.9910393295
390	0.9901334064
391	0.9891781782
392	0.9885100954
393	0.9879468421
394	0.9876087859
395	0.9869982862
396	0.9861346715
397	0.985312939
398	0.9849569692
399	0.9841601066
400	0.9834895586
401	0.9828008992
402	0.9819768578
403	0.9813137086
404	0.9807265442
405	0.9802623292
406	0.9797606355
407	0.9787718713
408	0.978200142
409	0.9776151846
410	0.9768173554
411	0.976347757
412	0.9757724048
413	0.9750235024
414	0.9742468211
415	0.9733648941
416	0.9727632274
417	0.9720542818
418	0.9710527292
419	0.9702382973
420	0.9690641558
421	0.9682619029
422	0.9677833467
423	0.9671620109
424	0.9663430293
425	0.9658757211
426	0.9653680901
427	0.9647117898
428	0.9640066799
429	0.963389138
430	0.9627594983
431	0.9618302021
432	0.9612716822
433	0.9604993532
434	0.9600157219
435	0.9593006161
436	0.9586348481
437	0.9577526679
438	0.9572980311
439	0.9564823214
440	0.9558176486
441	0.95517792
442	0.9543168825
443	0.9536742338
444	0.9529543577
445	0.9525318291
446	0.9519135185
447	0.9511504938
448	0.9504850951
449	0.9500951264
450	0.9492633452
451	0.9486592878
452	0.9479835566
453	0.9475844662
454	0.9468422848
455	0.9463500464
456	0.9459457246
457	0.9452646473
458	0.9447476228
459	0.9444260795
460	0.944055029
461	0.9434986231
462	0.9431646398
463	0.9425886339
464	0.9418877656
465	0.9414471516
466	0.9407399351
467	0.9401359023
468	0.9397109633
469	0.9391422961
470	0.9385422472
471	0.9378975828
472	0.9370820524
473	0.9366802417
474	0.9359866889
475	0.9352224261
476	0.9341471359
477	0.9334048881
478	0.9329655018
479	0.93245553
480	0.9318365685
481	0.9309886819
482	0.93036958
483	0.9298433726
484	0.9292677232
485	0.9285977541
486	0.9280879224
487	0.9275247184
488	0.9270831592
489	0.9262673932
490	0.9256075828
491	0.9248286138
492	0.9243588792
493	0.9237663325
494	0.9233623817
495	0.9227847132
496	0.9219849685
497	0.9213947561
498	0.9207417501
499	0.9202419143
500	0.919182936
501	0.9183548735
502	0.9179303159
503	0.9175457947
504	0.9171223373
505	0.9167105178
